product_id,sku,product_name,brand,unit_price,unit_cost,active_from_id,active_to_id,created_at_date_id,created_at_time,category_name,parent_category_name
1,SKU-00001,Andina Remeras 001,Andina,112524.82,68777.76,36,,36,03:43:54,Remeras,Ropa
2,SKU-00002,Lago Remeras 002,Lago,9608.49,5509.74,60,,60,18:23:57,Remeras,Ropa
3,SKU-00003,Lago Zapatillas 003,Lago,36963.89,25775.53,208,,208,00:14:11,Zapatillas,Calzado
4,SKU-00004,Lago Pantalones 004,Lago,54336.32,31997.02,196,,196,12:15:18,Pantalones,Ropa
5,SKU-00005,Pampa Gorras 005,Pampa,57052.01,36284.45,68,,68,01:34:55,Gorras,Accesorios
6,SKU-00006,Lago Remeras 006,Lago,16426.03,10238.25,161,223,161,22:31:10,Remeras,Ropa
7,SKU-00007,Pampa Zapatillas 007,Pampa,11644.54,7067.94,75,115,75,02:54:18,Zapatillas,Calzado
8,SKU-00008,Cordillera Botas 008,Cordillera,97174.24,62308.91,95,,95,12:56:06,Botas,Calzado
9,SKU-00009,Pampa Botas 009,Pampa,93324.0,55321.03,187,,187,08:54:47,Botas,Calzado
10,SKU-00010,Estilo Gorras 010,Estilo,148480.89,105421.42,143,,143,07:59:45,Gorras,Accesorios
11,SKU-00011,Norte Camperas 011,Norte,124161.38,93277.66,103,,103,09:44:53,Camperas,Ropa
12,SKU-00012,Norte Mochilas 012,Norte,100038.61,64915.85,165,,165,16:42:22,Mochilas,Accesorios
13,SKU-00013,Norte Pantalones 013,Norte,113023.4,77392.13,192,,192,21:17:02,Pantalones,Ropa
14,SKU-00014,Río Gorras 014,Río,36801.51,29418.55,131,,131,17:58:06,Gorras,Accesorios
15,SKU-00015,Pampa Camperas 015,Pampa,27161.99,16025.45,175,,175,15:22:13,Camperas,Ropa
16,SKU-00016,Lago Gorras 016,Lago,91403.82,60967.49,65,83,65,20:08:32,Gorras,Accesorios
17,SKU-00017,Río Botas 017,Río,21175.07,13947.83,117,224,117,00:07:05,Botas,Calzado
18,SKU-00018,Pampa Pantalones 018,Pampa,131225.19,81964.72,164,,164,18:29:00,Pantalones,Ropa
19,SKU-00019,Río Pantalones 019,Río,115564.07,79143.44,200,235,200,19:18:34,Pantalones,Ropa
20,SKU-00020,Andina Wearables 020,Andina,21220.82,13597.14,213,,213,11:11:46,Wearables,Electrónica
21,SKU-00021,Pampa Zapatillas 021,Pampa,17419.75,11697.32,18,,18,19:23:42,Zapatillas,Calzado
22,SKU-00022,Cordillera Pantalones 022,Cordillera,142293.06,84135.29,136,,136,22:05:07,Pantalones,Ropa
23,SKU-00023,Norte Zapatillas 023,Norte,108377.6,70418.14,172,,172,23:39:40,Zapatillas,Calzado
24,SKU-00024,Pampa Wearables 024,Pampa,40946.31,23175.88,6,,6,21:25:10,Wearables,Electrónica
25,SKU-00025,Andina Zapatillas 025,Andina,15294.0,10824.72,59,158,59,02:27:14,Zapatillas,Calzado
26,SKU-00026,Estilo Zapatillas 026,Estilo,102001.78,61564.11,34,,34,20:47:27,Zapatillas,Calzado
27,SKU-00027,Cordillera Zapatillas 027,Cordillera,122087.06,72959.53,25,,25,23:59:34,Zapatillas,Calzado
28,SKU-00028,Lago Gorras 028,Lago,72718.58,53249.56,173,195,173,23:47:29,Gorras,Accesorios
29,SKU-00029,Río Gorras 029,Río,121085.91,69904.99,50,,50,06:55:31,Gorras,Accesorios
30,SKU-00030,Lago Pantalones 030,Lago,31605.77,21038.6,20,175,20,16:08:02,Pantalones,Ropa
31,SKU-00031,Andina Camperas 031,Andina,145504.46,113725.08,61,,61,06:03:18,Camperas,Ropa
32,SKU-00032,Norte Wearables 032,Norte,130374.31,101119.71,43,,43,13:47:52,Wearables,Electrónica
33,SKU-00033,Estilo Gorras 033,Estilo,139345.12,103990.8,74,,74,15:24:04,Gorras,Accesorios
34,SKU-00034,Sur Wearables 034,Sur,32535.19,19665.09,15,,15,21:05:14,Wearables,Electrónica
35,SKU-00035,Río Camperas 035,Río,13288.96,9249.71,129,,129,19:20:15,Camperas,Ropa
36,SKU-00036,Sur Remeras 036,Sur,14935.59,8468.34,61,,61,14:42:03,Remeras,Ropa
37,SKU-00037,Andina Zapatillas 037,Andina,94810.32,62082.39,150,,150,20:34:45,Zapatillas,Calzado
38,SKU-00038,Norte Botas 038,Norte,102110.27,64181.0,68,,68,14:24:36,Botas,Calzado
39,SKU-00039,Cordillera Botas 039,Cordillera,50845.69,37522.4,19,,19,00:20:20,Botas,Calzado
40,SKU-00040,Pampa Remeras 040,Pampa,82956.99,56118.01,34,112,34,12:42:25,Remeras,Ropa
41,SKU-00041,Sur Botas 041,Sur,68536.76,47002.82,78,228,78,22:16:13,Botas,Calzado
42,SKU-00042,Pampa Botas 042,Pampa,141144.85,82368.29,30,,30,03:53:49,Botas,Calzado
43,SKU-00043,Estilo Pantalones 043,Estilo,45854.66,27634.65,88,,88,07:24:45,Pantalones,Ropa
44,SKU-00044,Cordillera Botas 044,Cordillera,41412.58,32179.22,14,,14,03:21:37,Botas,Calzado
45,SKU-00045,Andina Botas 045,Andina,5514.12,4095.78,164,,164,09:32:15,Botas,Calzado
46,SKU-00046,Lago Wearables 046,Lago,86331.5,49896.88,177,,177,05:25:36,Wearables,Electrónica
47,SKU-00047,Sur Mochilas 047,Sur,67319.07,37729.46,94,162,94,01:27:09,Mochilas,Accesorios
48,SKU-00048,Río Remeras 048,Río,118116.86,91072.07,105,,105,22:35:51,Remeras,Ropa
49,SKU-00049,Sur Zapatillas 049,Sur,146549.87,110307.05,106,,106,00:54:08,Zapatillas,Calzado
